date,value,my,year
12/31/2001,1.182,12/2001,2001
01/07/2002,1.194,01/2002,2002
01/14/2002,1.185,01/2002,2002
01/21/2002,1.175,01/2002,2002
01/28/2002,1.167,01/2002,2002
02/04/2002,1.184,02/2002,2002
02/11/2002,1.172,02/2002,2002
02/18/2002,1.175,02/2002,2002
02/25/2002,1.172,02/2002,2002
03/04/2002,1.204,03/2002,2002
03/11/2002,1.277,03/2002,2002
03/18/2002,1.346,03/2002,2002
03/25/2002,1.393,03/2002,2002
04/01/2002,1.428,04/2002,2002
04/08/2002,1.472,04/2002,2002
04/15/2002,1.457,04/2002,2002
04/22/2002,1.457,04/2002,2002
04/29/2002,1.44,04/2002,2002
05/06/2002,1.446,05/2002,2002
05/13/2002,1.439,05/2002,2002
05/20/2002,1.449,05/2002,2002
05/27/2002,1.438,05/2002,2002
06/03/2002,1.442,06/2002,2002
06/10/2002,1.42,06/2002,2002
06/17/2002,1.423,06/2002,2002
06/24/2002,1.428,06/2002,2002
07/01/2002,1.444,07/2002,2002
07/08/2002,1.431,07/2002,2002
07/15/2002,1.444,07/2002,2002
07/22/2002,1.465,07/2002,2002
07/29/2002,1.459,07/2002,2002
08/05/2002,1.443,08/2002,2002
08/12/2002,1.441,08/2002,2002
08/19/2002,1.443,08/2002,2002
08/26/2002,1.45,08/2002,2002
09/02/2002,1.438,09/2002,2002
09/09/2002,1.441,09/2002,2002
09/16/2002,1.452,09/2002,2002
09/23/2002,1.441,09/2002,2002
09/30/2002,1.471,09/2002,2002
10/07/2002,1.502,10/2002,2002
10/14/2002,1.507,10/2002,2002
10/21/2002,1.527,10/2002,2002
10/28/2002,1.51,10/2002,2002
11/04/2002,1.513,11/2002,2002
11/11/2002,1.489,11/2002,2002
11/18/2002,1.456,11/2002,2002
11/25/2002,1.423,11/2002,2002
12/02/2002,1.405,12/2002,2002
12/09/2002,1.405,12/2002,2002
12/16/2002,1.411,12/2002,2002
12/23/2002,1.459,12/2002,2002
12/30/2002,1.506,12/2002,2002
01/06/2003,1.502,01/2003,2003
01/13/2003,1.512,01/2003,2003
01/20/2003,1.512,01/2003,2003
01/27/2003,1.525,01/2003,2003
02/03/2003,1.588,02/2003,2003
02/10/2003,1.673,02/2003,2003
02/17/2003,1.716,02/2003,2003
02/24/2003,1.7,02/2003,2003
03/03/2003,1.725,03/2003,2003
03/10/2003,1.748,03/2003,2003
03/17/2003,1.758,03/2003,2003
03/24/2003,1.712,03/2003,2003
03/31/2003,1.666,03/2003,2003
04/07/2003,1.645,04/2003,2003
04/14/2003,1.611,04/2003,2003
04/21/2003,1.593,04/2003,2003
04/28/2003,1.574,04/2003,2003
05/05/2003,1.528,05/2003,2003
05/12/2003,1.514,05/2003,2003
05/19/2003,1.524,05/2003,2003
05/26/2003,1.517,05/2003,2003
06/02/2003,1.507,06/2003,2003
06/09/2003,1.534,06/2003,2003
06/16/2003,1.561,06/2003,2003
06/23/2003,1.532,06/2003,2003
06/30/2003,1.525,06/2003,2003
07/07/2003,1.529,07/2003,2003
07/14/2003,1.573,07/2003,2003
07/21/2003,1.582,07/2003,2003
07/28/2003,1.574,07/2003,2003
08/04/2003,1.596,08/2003,2003
08/11/2003,1.632,08/2003,2003
08/18/2003,1.676,08/2003,2003
08/25/2003,1.775,08/2003,2003
09/01/2003,1.767,09/2003,2003
09/08/2003,1.733,09/2003,2003
09/15/2003,1.721,09/2003,2003
09/22/2003,1.664,09/2003,2003
09/29/2003,1.613,09/2003,2003
10/06/2003,1.599,10/2003,2003
10/13/2003,1.597,10/2003,2003
10/20/2003,1.607,10/2003,2003
10/27/2003,1.579,10/2003,2003
11/03/2003,1.577,11/2003,2003
11/10/2003,1.547,11/2003,2003
11/17/2003,1.544,11/2003,2003
11/24/2003,1.563,11/2003,2003
12/01/2003,1.54,12/2003,2003
12/08/2003,1.528,12/2003,2003
