my,year,value_x,value_y,crisis,exch_usd
02/2011,2011,90.0141052631579,3.2754999999999996,0,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.7727
02/2011,2011,90.0141052631579,3.2754999999999996,0,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.551
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,7.80661
02/2011,2011,90.0141052631579,3.2754999999999996,0,19.05
02/2011,2011,90.0141052631579,3.2754999999999996,1,240.68
02/2011,2011,90.0141052631579,3.2754999999999996,1,122.71
02/2011,2011,90.0141052631579,3.2754999999999996,0,53.26
02/2011,2011,90.0141052631579,3.2754999999999996,0,9068
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,77.72
02/2011,2011,90.0141052631579,3.2754999999999996,0,85.0681
02/2011,2011,90.0141052631579,3.2754999999999996,0,1151.8
02/2011,2011,90.0141052631579,3.2754999999999996,0,3.177
02/2011,2011,90.0141052631579,3.2754999999999996,0,29.33
02/2011,2011,90.0141052631579,3.2754999999999996,0,13.9904
02/2011,2011,90.0141052631579,3.2754999999999996,0,8.5772
02/2011,2011,90.0141052631579,3.2754999999999996,0,5.6152
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.296512382
02/2011,2011,90.0141052631579,3.2754999999999996,0,22.9767
02/2011,2011,90.0141052631579,3.2754999999999996,1,158.267
02/2011,2011,90.0141052631579,3.2754999999999996,0,5.99
02/2011,2011,90.0141052631579,3.2754999999999996,0,1
02/2011,2011,90.0141052631579,3.2754999999999996,0,4439.905
02/2011,2011,90.0141052631579,3.2754999999999996,0,2.696
02/2011,2011,90.0141052631579,3.2754999999999996,0,43.928
02/2011,2011,90.0141052631579,3.2754999999999996,0,3.4174
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,1,32.1961
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.3007
